bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1433183,2269979,text,17716,text/html,Introduced,https://legiscan.com/CA/text/SB287/id/2269979,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB287
1433183,2325211,text,24960,text/html,Amended,https://legiscan.com/CA/text/SB287/id/2325211,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB287
1433184,2269980,text,29196,text/html,Introduced,https://legiscan.com/CA/text/SB288/id/2269980,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB288
1433184,2310605,text,25468,text/html,Amended,https://legiscan.com/CA/text/SB288/id/2310605,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB288
1433184,2333342,text,25895,text/html,Amended,https://legiscan.com/CA/text/SB288/id/2333342,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB288
1433185,2269981,text,5453,text/html,Introduced,https://legiscan.com/CA/text/SB289/id/2269981,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB289
1433185,2325608,text,75623,text/html,Amended,https://legiscan.com/CA/text/SB289/id/2325608,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB289
1433185,2356695,text,74820,text/html,Amended,https://legiscan.com/CA/text/SB289/id/2356695,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB289
1433185,2366244,text,74086,text/html,Amended,https://legiscan.com/CA/text/SB289/id/2366244,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB289
1433186,2269982,text,83916,text/html,Introduced,https://legiscan.com/CA/text/SB290/id/2269982,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB290
1433187,2269983,text,12197,text/html,Introduced,https://legiscan.com/CA/text/SB291/id/2269983,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB291
1433188,2269984,text,59078,text/html,Introduced,https://legiscan.com/CA/text/SB292/id/2269984,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB292
1433188,2356636,text,54442,text/html,Amended,https://legiscan.com/CA/text/SB292/id/2356636,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB292
1433189,2269985,text,15695,text/html,Introduced,https://legiscan.com/CA/text/SB293/id/2269985,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB293
1433189,2341716,text,19478,text/html,Amended,https://legiscan.com/CA/text/SB293/id/2341716,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB293
1434869,2271912,text,30166,text/html,Introduced,https://legiscan.com/CA/text/SB294/id/2271912,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB294
1436528,2273998,text,3392,text/html,Introduced,https://legiscan.com/CA/text/SB295/id/2273998,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB295
1436529,2273999,text,4760,text/html,Introduced,https://legiscan.com/CA/text/SB296/id/2273999,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB296
1436530,2274000,text,12860,text/html,Introduced,https://legiscan.com/CA/text/SB297/id/2274000,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB297
1436530,2336716,text,12983,text/html,Amended,https://legiscan.com/CA/text/SB297/id/2336716,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB297
1436530,2348500,text,14060,text/html,Amended,https://legiscan.com/CA/text/SB297/id/2348500,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB297
1436531,2274001,text,4660,text/html,Introduced,https://legiscan.com/CA/text/SB298/id/2274001,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB298
1436531,2331049,text,7991,text/html,Amended,https://legiscan.com/CA/text/SB298/id/2331049,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB298
1436531,2348495,text,7239,text/html,Amended,https://legiscan.com/CA/text/SB298/id/2348495,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB298
