bill_id,people_id,position
1385470,18079,17
1385470,19459,7
1385470,19487,16
1385470,19627,28
1385470,19658,21
1385470,19659,31
1385470,19716,9
1385470,19717,12
1385470,19719,3
1385470,19721,36
1385470,19725,8
1385470,21719,29
1385470,21720,39
1385470,21727,32
1385470,22654,15
1385470,22851,4
1385471,16284,1
1385472,18070,1
1385473,17701,1
1385473,19716,2
1385473,19717,3
1385474,16221,2
1385474,18071,1
1385475,1561,1
1385475,19487,2
1385475,19733,3
1385476,18065,1
1385477,14115,9
1385477,14119,10
1385477,16033,3
1385477,16304,4
1385477,16316,8
1385477,18065,7
1385477,18073,1
1385477,18079,2
1385477,19728,5
1385477,21717,6
1385478,11612,3
1385478,19459,2
1385478,19726,1
1385479,19733,1
1385480,14096,1
1385481,1507,1
1385481,10959,4
1385481,11612,14
1385481,14101,2
1385481,14118,16
1385481,14134,18
1385481,16284,11
1385481,16288,13
1385481,16306,7
1385481,16308,15
1385481,18068,8
1385481,19459,9
1385481,19487,10
1385481,19721,17
1385481,19726,5
1385481,19733,3
1385481,21374,6
1385481,21725,12
1385482,1504,2
1385482,10959,1
1385482,14094,3
1385482,14104,4
1385482,14107,12
1385482,14119,8
1385482,14121,13
1385482,14122,14
1385482,16282,10
1385482,16296,7
1385482,18065,5
1385482,18068,9
1385482,19627,6
1385482,19726,11
1385484,14098,2
1385484,14109,1
1385485,14123,1
1385485,16293,6
1385485,16295,7
1385485,16309,9
1385485,18066,2
1385485,18071,5
1385485,18074,3
1385485,18080,12
1385485,21440,8
1385485,21718,4
1385485,21721,11
1385485,22851,10
1385486,14120,1
1385487,11611,1
1385487,14104,5
1385487,14114,12
1385487,14117,15
1385487,16221,7
1385487,16293,9
1385487,16295,10
1385487,16305,2
1385487,16309,13
1385487,18063,4
1385487,18066,3
1385487,18071,8
1385487,19727,6
1385487,21440,11
1385487,21720,16
1385487,21728,14
1385488,1561,10
1385488,14109,7
1385488,16033,3
1385488,16306,6
1385488,16307,8
1385488,18065,2
1385488,19487,4
1385488,19659,9
1385488,19726,1
1385488,21374,5
1385489,19719,1
1385490,19719,1
1385491,1507,1
1385491,14118,2
1385492,14119,3
1385492,14122,4
1385492,16282,1
1385492,18077,2
1385492,19717,5
1385492,19723,7
1385492,21723,6
1385493,1556,1
1385494,16304,1
1385495,14092,1
1385495,16282,2
1385495,18065,5
1385495,19487,6
1385495,19659,3
1385495,19723,4
1385495,21719,7
1385496,18071,1
1385498,16294,1
1385498,18080,2
1385499,19487,2
1385499,19726,1
1385500,14092,6
1385500,14104,7
1385500,14107,10
1385500,14110,11
1385500,14113,13
1385500,14119,15
1385500,14122,18
1385500,14219,14
1385500,16282,1
1385500,16294,12
1385500,16304,4
1385500,17701,9
1385500,18068,20
1385500,18070,17
1385500,18077,8
1385500,19658,2
1385500,19716,5
1385500,19733,16
1385500,21723,19
1385500,21727,3
1385501,1552,13
1385501,11612,6
1385501,14101,4
1385501,14110,8
1385501,14114,12
1385501,14123,15
1385501,16221,7
1385501,16296,10
1385501,17701,1
1385501,18069,5
1385501,18075,9
1385501,19716,2
1385501,21440,11
1385501,21717,3
1385501,21728,14
1385502,1507,1
1385502,17428,3
1385502,19459,2
1385503,14098,1
1385504,16282,1
1385504,16299,3
1385504,18065,2
1385505,21725,1
1385506,16294,1
1385507,19719,1
1385508,16288,1
1385508,16293,2
1385508,21718,3
1385509,14096,1
1385510,21723,1
1385512,16284,1
1385513,16286,1
1385513,19487,3
1385513,19721,2
1385513,19727,4
1385514,18071,1
1385515,14123,12
1385515,16293,5
1385515,16295,6
1385515,16309,8
1385515,18071,4
1385515,18074,2
1385515,18080,11
1385515,21440,7
1385515,21718,3
1385515,21720,9
1385515,21721,10
1385515,22851,1
1385516,19728,1
1385517,16293,1
1385517,19716,2
1385517,21720,3
1385518,14091,4
1385518,14114,15
1385518,14123,21
1385518,16221,10
1385518,16287,9
1385518,16293,12
1385518,16295,13
1385518,16305,2
1385518,16309,16
1385518,18066,5
1385518,18069,8
1385518,18071,11
1385518,18074,6
1385518,18080,20
1385518,19716,3
1385518,21440,14
1385518,21718,7
1385518,21720,1
1385518,21721,19
1385518,21728,17
1385518,22851,18
1385519,21724,1
1385520,14119,1
1385521,14109,1
1385521,19723,3
1385521,21719,2
1385522,14113,2
1385522,16297,1
1385523,14122,1
1385524,1507,3
1385524,10959,2
1385524,18068,1
1385524,19721,4
1385526,14096,1
1385527,16304,1
1385527,18070,2
1385528,1507,8
1385528,14094,2
1385528,16033,5
1385528,16282,3
1385528,16288,4
1385528,16299,7
1385528,18064,6
1385528,18068,11
1385528,19459,1
1385528,19487,9
1385528,19726,10
1385529,10959,1
1385529,19721,4
1385529,19733,5
1385529,21374,3
1385529,21725,2
1385530,18067,2
1385530,18075,1
1385531,16285,1
1385531,21718,2
1385532,14110,2
1385532,14121,5
1385532,16282,1
1385532,16288,4
1385532,18068,6
1385532,18077,3
1385533,16282,1
1385534,1507,2
1385534,17428,3
1385534,19727,1
1385535,14118,2
1385535,18063,1
1385536,14091,7
1385536,14092,9
1385536,14094,11
1385536,14096,15
1385536,14098,19
1385536,14100,23
1385536,14104,21
1385536,14106,31
1385536,14107,33
1385536,14109,35
1385536,14110,40
1385536,14112,44
1385536,14113,48
1385536,14115,50
1385536,14116,51
1385536,14117,54
1385536,14118,57
1385536,14119,56
1385536,14120,59
1385536,14121,1
1385536,14122,66
1385536,14123,70
1385536,16033,41
1385536,16087,62
1385536,16280,12
1385536,16282,17
1385536,16284,20
1385536,16286,25
1385536,16287,29
1385536,16288,30
1385536,16291,34
1385536,16293,38
1385536,16294,42
1385536,16295,45
1385536,16296,47
1385536,16297,53
1385536,16299,63
1385536,16309,52
1385536,16316,46
1385536,18063,18
1385536,18064,60
1385536,18065,36
1385536,18066,16
1385536,18067,2
1385536,18069,26
1385536,18071,37
1385536,18072,32
1385536,18073,6
1385536,18074,22
1385536,18077,28
1385536,18078,8
1385536,18080,69
1385536,19330,27
1385536,19459,3
1385536,19487,14
1385536,19659,43
1385536,19716,4
1385536,19717,10
1385536,19719,55
1385536,19720,58
1385536,19721,61
1385536,19723,72
1385536,21440,49
1385536,21717,5
1385536,21718,24
1385536,21719,39
1385536,21720,64
1385536,21721,67
1385536,21722,68
1385536,21723,71
1385536,22654,13
1385536,22851,65
1385537,18070,2
1385537,21725,1
1385538,1552,2
1385538,16287,1
1385539,1504,10
1385539,1507,11
1385539,1556,58
1385539,1561,68
1385539,10959,5
1385539,10970,56
1385539,10972,75
1385539,11612,37
1385539,14092,7
1385539,14094,9
1385539,14098,17
1385539,14101,26
1385539,14104,20
1385539,14112,48
1385539,14115,52
1385539,14118,60
1385539,14119,59
1385539,14120,61
1385539,14121,70
1385539,14123,74
1385539,14134,64
1385539,16033,46
1385539,16280,1
1385539,16282,15
